freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))"
3.39999999999999991E10,-8.00122074916352,-1.56066594854791,-4.27430589383591,-4.75318223714664,-1.82577716605778,-4.24363826666433
3.41000000000000014E10,-8.21184593289106,-1.5129904535879,-4.2643286767306,-4.63080265947931,-1.91196241045861,-4.22551010600971
3.42000000000000037E10,-8.42267726359156,-1.47057175819721,-4.26890568568702,-4.46971450222887,-2.0651398022903,-4.21755598931028
3.42999999999999972E10,-8.6318762091807,-1.43438940649788,-4.17463900071717,-4.39852227767756,-2.26958449680768,-4.24348758604696
3.43999999999999995E10,-8.83732623461749,-1.40637047863851,-4.04906489514609,-4.35607622713782,-2.55989211562721,-4.29269874626037
3.45000000000000018E10,-9.03693150470277,-1.39038626893207,-4.07994758262642,-4.31044813657908,-2.9536036076665,-4.33553588400519
3.45999999999999996E10,-9.23141100620568,-1.39402841923707,-4.29911710266136,-4.20673443766533,-3.46633374054617,-4.36679470871787
3.47000000000000020E10,-9.44209126240664,-1.42802070068716,-4.39342601462402,-4.04767078958273,-3.92586225765756,-4.45930164985255
3.47999999999999954E10,-9.79217295301142,-1.47562362687739,-4.43503345680211,-4.05309069785164,-4.2840468322534,-4.51263401548437
3.48999999999999977E10,-10.4058112740619,-1.4310634487766,-4.54035170928659,-4.09859497734738,-4.55282172909193,-4.56946635600677
3.50000000000000000E10,-10.7916404622875,-1.30331267168027,-4.61172666156242,-4.12729064600766,-4.79574414291758,-4.56585706341087
3.51000000000000023E10,-10.9781715181092,-1.2046109047464,-4.61408327815038,-4.09391538538468,-5.03359851312553,-4.50645539042831
3.52000000000000046E10,-11.1522485197967,-1.14269730155418,-4.57870591478718,-4.1221445822829,-5.13838802137452,-4.38942941065913
3.52999999999999980E10,-11.3435453966397,-1.10072576454427,-4.60960534997974,-4.12453308993145,-5.18212920488104,-4.21636599168062
3.54000000000000004E10,-11.5501328457543,-1.06904961137301,-4.63908750389625,-4.18803677254074,-5.15190312079889,-4.03072004867828
3.54999999999999982E10,-11.7681560505504,-1.0431716883739,-4.56678012781139,-4.19928549638221,-5.05987844716196,-3.84209226016866
3.56000000000000005E10,-11.9950407044896,-1.02093527568473,-4.59481461971544,-4.2208897438203,-4.90185289815433,-3.67354704229586
3.57000000000000028E10,-12.229303029122,-1.00123589005667,-4.6732042587582,-4.23823454891103,-4.7556377268787,-3.52503386808446
3.57999999999999963E10,-12.470147789331,-0.983477661968838,-4.63044949575384,-4.21809569632717,-4.62312008813843,-3.35925910617951
3.58999999999999986E10,-12.717185996142,-0.967339433380795,-4.67555341371086,-4.13086268427672,-4.58730811469241,-3.16550529263735
3.60000000000000009E10,-12.9702507781858,-0.952674529577422,-4.67513568799755,-3.99718978756633,-4.51020469628146,-2.98213989112243
