freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))","dB(S(7,7))","dB(S(8,7))","dB(S(9,9))","dB(S(10,9))","dB(S(11,11))","dB(S(12,11))"
5.50E+10,-9.388614457,-1.94258719,-23.70152595,-1.323107248,-17.85728599,-1.356385878,-14.14326382,-1.419034963,-12.0165742,-1.489611746,-10.16777624,-1.638168709
5.51E+10,-9.38718846,-1.971813646,-24.19663152,-1.234806779,-18.03367229,-1.295907652,-14.33020756,-1.332285734,-12.24678162,-1.490693615,-10.37650544,-1.611401932
5.52E+10,-9.069849949,-2.068685944,-24.83053019,-1.161521017,-18.25184036,-1.244201836,-14.53408744,-1.260022237,-12.48331749,-1.491809568,-10.53769367,-1.545100738
5.53E+10,-8.815795923,-2.09579972,-25.63002609,-1.103181535,-18.51363618,-1.200799747,-14.75454245,-1.201469359,-12.72643584,-1.492961039,-10.65775208,-1.469182162
5.54E+10,-8.748902511,-2.194587155,-26.61756154,-1.059438281,-18.82036331,-1.165148927,-14.9913531,-1.155686635,-12.97641106,-1.494149518,-10.75546601,-1.412109464
5.55E+10,-8.641216788,-2.286353644,-27.80432651,-1.029661378,-19.17278531,-1.136626791,-15.24422382,-1.121587751,-13.23354011,-1.495376551,-10.84706625,-1.378672161
5.56E+10,-8.699790064,-2.382017341,-29.18218984,-1.012954233,-19.57118039,-1.114555454,-15.51062748,-1.097962794,-13.49814519,-1.496643739,-10.94295309,-1.361071569
5.57E+10,-8.966128609,-2.502123376,-30.71632846,-1.008176594,-20.01544513,-1.09821706,-15.76592434,-1.083502462,-13.77057669,-1.497952728,-11.04876886,-1.351400764
5.58E+10,-9.366870089,-2.577956794,-32.34163173,-1.013975384,-20.50523878,-1.086868985,-15.68637612,-1.076823701,-14.05121656,-1.49930521,-11.16705205,-1.344772454
5.59E+10,-9.5056197,-2.578568699,-33.96798046,-1.028820634,-21.04015651,-1.079758388,-14.96845097,-1.076496537,-14.34048226,-1.500702909,-11.29848385,-1.338671845
5.60E+10,-9.896943935,-2.640391609,-35.49907161,-1.051043725,-21.61992044,-1.076135666,-15.99554766,-1.081072121,-14.63883123,-1.502147571,-11.4426834,-1.331952214
5.61E+10,-10.56276295,-2.642386958,-36.85684898,-1.078875373,-22.24458011,-1.075266551,-16.52758749,-1.089112205,-14.94676613,-1.503640947,-11.59868995,-1.324179873
5.62E+10,-10.80590573,-2.694627429,-37.98128027,-1.110481317,-22.91471976,-1.076442644,-16.92928835,-1.099220215,-15.26484092,-1.50518477,-11.7652525,-1.315277246
5.63E+10,-10.91415552,-2.641084835,-38.78113809,-1.143994411,-23.63167619,-1.078990363,-17.29514559,-1.110073897,-15.59366798,-1.506780727,-11.94100498,-1.305338463
