"S_width [mm]","T_sub [mm]","W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.254,0.5,37,-40.8852643042671,-0.452119612092608,1152.08551724232,3.57430571174595,54.1830710314777,157.856427940435,93.8566790494041
0.1,0.254,0.5,37.05,-40.9088100275399,-0.450113266784232,1153.69423436217,3.57833234932142,54.1862954755008,156.303484968618,92.5325155760934
0.1,0.254,0.5,37.1,-40.9175043453556,-0.448454964970065,1155.30323142073,3.5823590185582,54.1895791627029,154.877798599052,91.2140801082306
0.1,0.254,0.5,37.15,-40.9136272918249,-0.447112659444069,1156.91250965626,3.58638568263126,54.192921876925,153.560711343447,89.9011216534723
0.1,0.254,0.5,37.2,-40.8989756993713,-0.44605520703241,1158.52207032453,3.59041230206163,54.1963237561255,152.33673871436,88.5933816948962
0.1,0.254,0.5,37.25,-40.8749773712362,-0.445252284984888,1160.13191470006,3.59443883448816,54.1997852944076,151.192900377339,87.2905959865243
0.1,0.254,0.5,37.3,-40.8427747348091,-0.444674323450693,1161.74204407733,3.59846523441681,54.2033073477342,150.118207199476,85.9924964815006
0.1,0.254,0.5,37.35,-40.8032869230076,-0.44429246071186,1163.35245977229,3.60249145294479,54.2068911438988,149.103262501315,84.6988133775486
0.1,0.254,0.5,37.4,-40.7572564126731,-0.444078527737207,1164.96316312381,3.60651743745685,54.2105382973245,148.139947873837,83.4092772540697
0.1,0.254,0.5,37.45,-40.7052844858648,-0.44400506808251,1166.5741554955,3.61054313129004,54.2142508293069,147.221172123955,82.1236212642528
0.1,0.254,0.5,37.5,-40.6478585324159,-0.444045398136418,1168.18543827752,3.61456847336331,54.2180311944145,146.340667585071,80.8415833346401
0.1,0.254,0.5,37.55,-40.585373368663,-0.444173711165264,1169.79701288871,3.61859339776773,54.2218823139014,145.492822007034,79.5629083146924
0.1,0.254,0.5,37.6,-40.5181481744234,-0.44436522656258,1171.40888077886,3.62261783331155,54.2258076171756,144.672537060603,78.2873500111635
0.1,0.254,0.5,37.65,-40.4464402631425,-0.444596383236398,1173.02104343133,3.62664170301563,54.2298110926161,143.875106512165,77.0146730376239
0.1,0.254,0.5,37.7,-40.3704566445574,-0.444845073307767,1174.6335023658,3.63066492355137,54.233897349345,143.096108589205,75.7446544093323
0.1,0.254,0.5,37.75,-40.2903641811505,-0.445090909444748,1176.24625914149,3.63468740461424,54.2380716919638,142.331308140563,74.4770848185356
0.1,0.254,0.5,37.8,-40.2062990585423,-0.445315516457697,1177.85931536065,3.63870904822393,54.2423402107763,141.576565033051,73.211769535538
0.1,0.254,0.5,37.85,-40.1183762744982,-0.445502835494592,1179.47267267248,3.6427297479408,54.2467098906726,140.827745935638,71.9485288962293
0.1,0.254,0.5,37.9,-40.0266998966469,-0.445639427548114,1181.08633277754,3.64674938798688,54.2511887426968,140.080637346167,70.6871983564111
0.1,0.254,0.5,37.95,-39.9313749446878,-0.445714762221024,1182.70029743263,3.65076784225753,54.2557859634157,139.330858560751,69.4276281157549
0.1,0.254,0.5,38,-39.8325219195453,-0.445721477917451,1184.31456845639,3.65478497320764,54.2605121286404,138.573774472161,68.1696823377604
0.1,0.254,0.5,38.05,-39.7302952272505,-0.445655600858071,1185.92914773544,3.65880063059298,54.2653794299477,137.804409894988,66.9132380145568
0.1,0.254,0.5,38.1,-39.6249070157661,-0.445516712470877,1187.5440372315,3.66281465004574,54.2704019649729,137.017369960822,65.6581835447771
0.1,0.254,0.5,38.15,-39.5166582191896,-0.445308057599097,1189.15923898928,3.66682685145556,54.27559609584,136.206775577953,64.4044171072773
0.1,0.254,0.5,38.2,-39.4059787950282,-0.445036589327752,1190.77475514557,3.6708370371273,54.2809808947138,135.366229758924,63.1518449219663
0.1,0.254,0.5,38.25,-39.2934790624033,-0.444712949751935,1192.3905879395,3.6748449896769,54.2865787018078,134.488840656942,61.9003794908787
0.1,0.254,0.5,38.3,-39.1800133627292,-0.444351389381788,1194.00673972425,3.6788504696216,54.2924158300072,133.567341158516,60.649937908073
0.1,0.254,0.5,38.35,-39.0667553990535,-0.443969630825865,1195.62321298055,3.68285321261141,54.2985234627119,132.594362806919,59.4004403167427
0.1,0.254,0.5,38.4,-38.9552807101778,-0.443588684707638,1197.24001033206,3.68685292623798,54.3049388092675,131.562941455059,58.1518085774426
0.1,0.254,0.5,38.45,-38.8476447307421,-0.443232627324957,1198.85713456315,3.69084928634372,54.3117066081119,130.467346494217,56.903965194145
0.1,0.254,0.5,38.5,-38.7464339095574,-0.442928350324859,1200.47458863947,3.69484193273742,54.3188811057062,129.304319756553,55.6568325266464
0.1,0.254,0.5,38.55,-38.6547528456537,-0.442705292681295,1202.09237573178,3.69883046420303,54.3265286961985,128.074758132702,54.4103323001642
0.1,0.254,0.5,38.6,-38.5760961819285,-0.442595164640356,1203.71049924372,3.7028144326587,54.3347314937042,126.785741006736,53.1643854070827
0.1,0.254,0.5,38.65,-38.514049840625,-0.442631672184873,1205.32896284431,3.70679333629825,54.3435922447664,125.452564621915,51.9189119825894
0.1,0.254,0.5,38.7,-38.4717882976769,-0.442850249133582,1206.94777050604,3.71076661149619,54.3532412053662,124.10012727303,50.6738317258951
0.1,0.254,0.5,38.75,-38.451398833807,-0.443287802391575,1208.56692654987,3.71473362321241,54.3638459623444,122.762747920483,49.4290644319524
0.1,0.254,0.5,38.8,-38.4531674691595,-0.443982474250461,1210.18643569855,3.71869365356087,54.375625779196,121.481555368632,48.1845306949136
0.1,0.254,0.5,38.85,-38.4750621209154,-0.444973424112763,1211.80630314006,3.72264588811916,54.388873092801,120.299208091157,46.9401527435983
0.1,0.254,0.5,38.9,-38.5126674733682,-0.446300630665577,1213.42653460361,3.72658939944201,54.4039866818389,119.25285278234,45.6958553704462
0.1,0.254,0.5,38.95,-38.5597018619318,-0.448004714402249,1215.04713645113,3.73052312708875,54.4215246039617,118.367349949159,44.4515669182558
0.1,0.254,0.5,39,-38.6090116982993,-0.450126779507358,1216.66811578808,3.73444585327522,54.4422920890983,117.651072352714,43.2072202928962
0.1,0.254,0.5,39.05,-38.6564411777978,-0.453021992911178,1218.28948081672,3.73835615720407,54.4670765377105,117.254526664858,41.9665637730218
0.1,0.254,0.5,39.1,-38.6791278497095,-0.456626028892459,1219.91124073272,3.74225241809729,54.4976653954024,117.174210865182,40.7302729104556
0.1,0.254,0.5,39.15,-38.6421605158711,-0.460729886110786,1221.53340589766,3.74613272513204,54.5363078023576,117.337734475025,39.5001635433494
0.1,0.254,0.5,39.2,-38.5173701992185,-0.464950698128539,1223.15598830008,3.74999483917281,54.5864741454743,117.500343528601,38.277615910441
0.1,0.254,0.5,39.25,-38.3050009520131,-0.468749451659943,1224.77900190164,3.75383611866225,54.6536308188927,117.301441139004,37.0626197946073
0.1,0.254,0.5,39.3,-38.0410885955504,-0.471589836028876,1226.40246307554,3.75765342455764,54.7463817315143,116.439214803508,35.8528539370203
0.1,0.254,0.5,39.35,-37.7799493530444,-0.473220143612925,1228.02639116735,3.76144299708501,54.8777878718523,114.816486788243,34.6438467312101
0.1,0.254,0.5,39.4,-37.5690287909011,-0.473870746697172,1229.65080921999,3.7652002940909,55.0676833896081,112.537336981023,33.4308121663352
0.1,0.254,0.5,39.45,-37.4363929953465,-0.474152011119485,1231.27574492176,3.76891977632712,55.361515551413,109.806281164754,32.2109602250135
0.1,0.254,0.5,39.5,-37.3920442572425,-0.474735975839108,1232.90123186186,3.77259461825491,55.9527494752061,106.836520646789,30.9843493401613
