S,W,freq
0.1,0.5,57
0.1,0.5,57.01
0.1,0.5,57.02
0.1,0.5,57.03
0.1,0.5,57.04
0.1,0.5,57.05
0.1,0.5,57.06
0.1,0.5,57.07
0.1,0.5,57.08
0.1,0.5,57.09
0.1,0.5,57.1
0.1,0.5,57.11
0.1,0.5,57.12
0.1,0.5,57.13
0.1,0.5,57.14
0.1,0.5,57.15
0.1,0.5,57.16
0.1,0.5,57.17
0.1,0.5,57.18
0.1,0.5,57.19
0.1,0.5,57.2
0.1,0.5,57.21
0.1,0.5,57.22
0.1,0.5,57.23
0.1,0.5,57.24
0.1,0.5,57.25
0.1,0.5,57.26
0.1,0.5,57.27
0.1,0.5,57.28
0.1,0.5,57.29
0.1,0.5,57.3
0.1,0.5,57.31
0.1,0.5,57.32
0.1,0.5,57.33
0.1,0.5,57.34
0.1,0.5,57.35
0.1,0.5,57.36
0.1,0.5,57.37
0.1,0.5,57.38
0.1,0.5,57.39
0.1,0.5,57.4
0.1,0.5,57.41
0.1,0.5,57.42
0.1,0.5,57.43
0.1,0.5,57.44
0.1,0.5,57.45
0.1,0.5,57.46
0.1,0.5,57.47
0.1,0.5,57.48
0.1,0.5,57.49
0.1,0.5,57.5
0.1,0.5,57.51
0.1,0.5,57.52
0.1,0.5,57.53
0.1,0.5,57.54
0.1,0.5,57.55
0.1,0.5,57.56
0.1,0.5,57.57
0.1,0.5,57.58
0.1,0.5,57.59
0.1,0.5,57.6
0.1,0.5,57.61
0.1,0.5,57.62
0.1,0.5,57.63
0.1,0.5,57.64
0.1,0.5,57.65
0.1,0.5,57.66
0.1,0.5,57.67
0.1,0.5,57.68
0.1,0.5,57.69
0.1,0.5,57.7
0.1,0.5,57.71
0.1,0.5,57.72
0.1,0.5,57.73
0.1,0.5,57.74
0.1,0.5,57.75
0.1,0.5,57.76
0.1,0.5,57.77
0.1,0.5,57.78
0.1,0.5,57.79
0.1,0.5,57.8
0.1,0.5,57.81
0.1,0.5,57.82
0.1,0.5,57.83
0.1,0.5,57.84
0.1,0.5,57.85
0.1,0.5,57.86
0.1,0.5,57.87
0.1,0.5,57.88
0.1,0.5,57.89
0.1,0.5,57.9
0.1,0.5,57.91
0.1,0.5,57.92
0.1,0.5,57.93
0.1,0.5,57.94
0.1,0.5,57.95
0.1,0.5,57.96
0.1,0.5,57.97
0.1,0.5,57.98
0.1,0.5,57.99
0.1,0.5,58
0.1,0.5,58.01
0.1,0.5,58.02
0.1,0.5,58.03
0.1,0.5,58.04
0.1,0.5,58.05
0.1,0.5,58.06
0.1,0.5,58.07
0.1,0.5,58.08
0.1,0.5,58.09
0.1,0.5,58.1
0.1,0.5,58.11
0.1,0.5,58.12
0.1,0.5,58.13
0.1,0.5,58.14
0.1,0.5,58.15
0.1,0.5,58.16
0.1,0.5,58.17
0.1,0.5,58.18
0.1,0.5,58.19
0.1,0.5,58.2
0.1,0.5,58.21
0.1,0.5,58.22
0.1,0.5,58.23
0.1,0.5,58.24
0.1,0.5,58.25
0.1,0.5,58.26
0.1,0.5,58.27
0.1,0.5,58.28
0.1,0.5,58.29
0.1,0.5,58.3
0.1,0.5,58.31
