"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(Y(1,1)) [deg]","ang_deg(Y(2,1)) [deg]"
0.5,57,-8.06617785402923,-1.94216686971204,1900.27452964957,4.66416177084293,18.0230090127879,8.84416778324441,-88.6695128559841
0.5,57.05,-8.05869878816205,-1.9513092782284,1902.23807287648,4.66773021652904,18.0221802588377,18.8404065737716,-88.6777041986001
0.5,57.1,-8.04576211490287,-1.95941684472604,1904.20139691224,4.67130029074484,18.0213613786645,27.6904631915025,-88.7104387578258
0.5,57.15,-8.02956910167863,-1.96649628423128,1906.16450264818,4.6748719910975,18.0205523414823,35.2687488864781,-88.7647922011497
0.5,57.2,-8.01174631941574,-1.97255510683141,1908.12739097199,4.67844531520773,18.0197531166809,41.6388523704626,-88.8379012277433
0.5,57.25,-7.99349264606693,-1.97760161593978,1910.09006276775,4.68202026070975,18.018963673825,46.9544784196821,-88.927116722608
0.5,57.3,-7.97569319156464,-1.98164490615601,1912.05251891595,4.6855968252511,18.0181839826529,51.3902924047253,-89.0300652501272
0.5,57.35,-7.95900484505728,-1.98469486074168,1914.0147602935,4.68917500649263,18.0174140130754,55.1077258581741,-89.1446613065561
0.5,57.4,-7.94391937781106,-1.98676214873199,1915.97678777375,4.6927548021083,18.0166537351743,58.2432124259961,-89.2690948098436
0.5,57.45,-7.93080954103341,-1.98785822170514,1917.9386022265,4.6963362097852,18.0159031192018,60.9072908186501,-89.4018075538331
0.5,57.5,-7.91996258540334,-1.98799531023111,1919.90020451806,4.69991922722331,18.0151621355791,63.1878327878456,-89.5414660728887
0.5,57.55,-7.91160460068789,-1.98718642002185,1921.86159551123,4.70350385213554,18.0144307548951,65.1542300560626,-89.6869347669101
0.5,57.6,-7.90591820283072,-1.98544532780428,1923.8227760653,4.70709008224753,18.0137089479056,66.8612924647758,-89.8372511187493
0.5,57.65,-7.90305541513555,-1.98278657693671,1925.78374703613,4.71067791529761,18.0129966855318,68.352485418779,-89.9916037315376
0.5,57.7,-7.90314707994966,-1.97922547278872,1927.74450927613,4.71426734903669,18.0122939388597,69.6624861458612,-90.1493133306879
0.5,57.75,-7.90630976368166,-1.97477807790235,1929.70506363426,4.71785838122814,18.0116006791385,70.8191554949144,-90.3098165863869
0.5,57.8,-7.91265084801447,-1.96946120695126,1931.66541095609,4.72145100964774,18.0109168777799,71.8450441738034,-90.4726524858158
0.5,57.85,-7.92227230640378,-1.96329242151236,1933.62555208379,4.72504523208356,18.0102425063568,72.7585407094481,-90.6374509450514
0.5,57.9,-7.93527352629281,-1.95629002466169,1935.58548785617,4.72864104633586,18.0095775366023,73.5747480378118,-90.803923356153
0.5,57.95,-7.95175343830317,-1.94847305540429,1937.54521910867,4.732238450217,18.0089219404085,74.3061557910038,-90.9718547917192
0.5,58,-7.97181214266058,-1.9398612829444,1939.50474667339,4.73583744155139,18.0082756898259,74.9631588459323,-91.1410976243381
0.5,58.05,-7.99555217218196,-1.93047520079995,1941.46407137912,4.73943801817533,18.0076387570616,75.5544598568192,-91.3115663551454
0.5,58.1,-8.02307949452798,-1.9203360207618,1943.42319405135,4.74304017793698,18.0070111144791,76.087383815364,-91.4832334808677
0.5,58.15,-8.05450433003206,-1.90946566669576,1945.38211551226,4.74664391869623,18.0063927345967,76.5681255000928,-91.6561262609027
0.5,58.2,-8.08994184236001,-1.89788676818202,1947.34083658078,4.75024923832465,18.0057835900864,77.0019453812446,-91.8303242748289
0.5,58.25,-8.12951274548587,-1.88562265398481,1949.29935807259,4.75385613470534,18.0051836537737,77.3933256486177,-92.005957686465
0.5,58.3,-8.17334386053327,-1.87269734534248,1951.25768080012,4.75746460573293,18.0045928986354,77.7460951533855,-92.1832061536576
0.5,58.35,-8.22156864889227,-1.85913554906716,1953.21580557259,4.76107464931341,18.0040112977997,78.0635299242855,-92.3622983439613
0.5,58.4,-8.27432774294207,-1.84496265044278,1955.17373319602,4.76468626336409,18.0034388245445,78.3484343318208,-92.5435120359164
0.5,58.45,-8.33176949216311,-1.83020470591092,1957.13146447324,4.76829944581351,18.0028754522967,78.6032067846311,-92.7271748043726
0.5,58.5,-8.39405054003565,-1.81488843553642,1959.08900020391,4.77191419460134,18.0023211546313,78.8298929438277,-92.9136653069274
0.5,58.55,-8.46133644562819,-1.7990412152494,1961.04634118454,4.77553050767831,18.0017759052701,79.03022875673,-93.1034152077395
0.5,58.6,-8.53380236299613,-1.78269106886712,1963.00348820851,4.77914838300613,18.0012396780811,79.2056750848647,-93.2969117955158
0.5,58.65,-8.61163379131009,-1.76586665990997,1964.96044206607,4.78276781855738,18.0007124470774,79.3574452909696,-93.4947013751939
0.5,58.7,-8.69502740893566,-1.74859728324007,1966.91720354437,4.78638881231546,18.0001941864162,79.4865268254468,-93.6973935387754
0.5,58.75,-8.78419200544465,-1.73091285657077,1968.87377342746,4.79001136227448,17.999684870398,79.5936975911749,-93.9056664511063
0.5,58.8,-8.87934952673615,-1.71284391192134,1970.83015249634,4.79363546643923,17.9991844734656,79.6795376491248,-94.1202733226706
0.5,58.85,-8.98073625009177,-1.69442158712497,1972.78634152894,4.79726112282502,17.9986929702029,79.744436641871,-94.3420502855611
0.5,58.9,-9.0886041081147,-1.67567761754162,1974.74234130014,4.80088832945767,17.9982103353346,79.7885971463272,-94.5719259431987
