"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-20.8121665859714,-6.24566380578111,1879.10837518261,5.50995714156629,294.196864096828,19.129118308293,-121.955746720892
0.5,57.05,-20.9832564076384,-6.19848236916799,1881.49237967833,5.51267880456807,294.123975290861,19.2950082237191,-122.32985300711
0.5,57.1,-21.0705378304153,-6.20020807701936,1883.87546789666,5.51540480375612,294.051523364161,19.5374246093988,-122.14312011356
0.5,57.15,-21.0766638504372,-6.3848191867742,1886.25764333717,5.5181351166498,293.979506061282,19.7490661668672,-122.431439767289
0.5,57.2,-21.0072536831895,-6.48527708585212,1888.63890948045,5.52086972092929,293.907921142938,19.8332471387171,-123.944479061122
0.5,57.25,-20.8703507046182,-6.48197877146059,1891.0192697882,5.52360859443405,293.836766385863,19.7079288670587,-125.305904402672
0.5,57.3,-20.6757098833642,-6.45768299511268,1893.39872770343,5.52635171516149,293.766039582663,19.3083501973492,-126.44656493763
0.5,57.35,-20.4340337479186,-6.43070741045664,1895.77728665052,5.52909906126544,293.695738541672,18.5879524405091,-127.492574225621
0.5,57.4,-20.1562678852708,-6.4035626598442,1898.15495003544,5.53185061105479,293.625861086815,17.5177610786385,-128.505298648439
0.5,57.45,-19.853025874113,-6.37616339204097,1900.53172124577,5.53460634299207,293.556405057461,16.084671069478,-129.512412734779
0.5,57.5,-19.5341660148534,-6.34812995567812,1902.90760365095,5.5373662356921,293.487368308288,14.2891416937647,-130.527566798173
0.5,57.55,-19.2085073688052,-6.31916770880145,1905.28260060233,5.54013026792055,293.418748709149,12.1427063701637,-131.558246442288
0.5,57.6,-18.8836566927007,-6.28910327333927,1907.6567154333,5.54289841859269,293.350544144928,9.66554335965773,-132.60899281006
0.5,57.65,-18.5659174038763,-6.25786446493518,1910.02995145947,5.54567066677196,293.282752515416,6.88421270084484,-133.682825755325
0.5,57.7,-18.2602594725745,-6.22545772324779,1912.40231197875,5.5484469916687,293.215371735169,3.82957909975565,-134.781920461293
0.5,57.75,-17.9703383883353,-6.19195146359309,1914.77380027148,5.55122737263881,293.148399733383,0.534911141378831,-135.907948526522
0.5,57.8,-17.6985578388636,-6.15746499699428,1917.14441960057,5.55401178918248,293.081834453761,-2.96584383820742,-137.062256593262
0.5,57.85,-17.4461729394953,-6.12216143628199,1919.51417321161,5.5568002209429,293.015673854386,-6.63958601296813,-138.245960635857
0.5,57.9,-17.2134293517069,-6.08624322901211,1921.88306433299,5.55959264770498,292.949915907593,-10.4553482192737,-139.459993385357
