"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-8.09711571450506,-3.45710841163111,1901.79505238105,4.69054242971649,18.0307420920472,-18.5816349546795,58.7932662581007
0.5,57.05,-8.12270188496873,-3.41772713061249,1903.75977360574,4.69413669333562,18.029899912118,-20.0326316818283,57.4523060664495
0.5,57.1,-8.15580602779548,-3.37897759836002,1905.72427657442,4.69773258990599,18.0290659480116,-21.4956855721005,56.0974886242752
0.5,57.15,-8.19683593898682,-3.34092278107575,1907.68856217678,4.70133011704511,18.0282410926152,-22.9680377898573,54.7283310226457
0.5,57.2,-8.24620388675318,-3.3036371640874,1909.65263129889,4.70492927238395,18.0274256889051,-24.4465341050003,53.3443056168669
0.5,57.25,-8.3043236168304,-3.26720915167356,1911.61648482319,4.70853005356676,18.0266198685436,-25.9275807695399,51.9448371661208
0.5,57.3,-8.37160646963378,-3.23174400638794,1913.58012362853,4.71213245825108,18.0258236807059,-27.4070936222606,50.5293006663486
0.5,57.35,-8.44845628190879,-3.19736745410199,1915.54354859022,4.71573648410751,18.0250371381395,-28.8804389055243,49.0970204197051
0.5,57.4,-8.53526260675147,-3.16423010835221,1917.50676057999,4.71934212881973,18.0242602356283,-30.3423640416297,47.6472711530547
0.5,57.45,-8.63239159148004,-3.13251289815159,1919.46976046606,4.72294939008432,18.0234929581499,-31.7869164502379,46.1792823888005
0.5,57.5,-8.74017358286095,-3.10243371504806,1921.43254911311,4.72655826561069,18.022735284583,-33.2073484947723,44.6922478363178
0.5,57.55,-8.85888615805309,-3.07425552298957,1923.39512738236,4.73016875312099,18.0219871889094,-34.5960070024186,43.1853423844906
0.5,57.6,-8.98873077637367,-3.0482961886277,1925.35749613154,4.73378085035002,18.0212486385813,-35.9442068133319,41.6577504347216
0.5,57.65,-9.12980057800629,-3.02494027149208,1927.3196562149,4.73739455504508,18.0205195841873,-37.2420899876365,40.108710949509
0.5,57.7,-9.28203599340093,-3.00465292954741,1929.28160848328,4.74100986496596,18.0197998888156,-38.4784764637352,38.5375868638095
0.5,57.75,-9.44516377054585,-2.98799588784539,1931.2433537841,4.74462677788476,18.0190893222738,-39.6407194395895,36.9439695866942
0.5,57.8,-9.61861384790823,-2.9756449885992,1933.20489296135,4.74824529158587,18.0183903943105,-40.714591569958,35.3278333385123
0.5,57.85,-9.8014074328965,-2.96840803219888,1935.16622685567,4.75186540386583,18.0176990342761,-41.6842491902828,33.6897589776776
0.5,57.9,-9.99200925459642,-2.96724018853066,1937.12735630429,4.75548711253325,18.0170172512512,-42.5323551065569,32.0312522621993
0.5,57.95,-10.1881384268009,-2.9732518644851,1939.08828214114,4.75911041540874,18.0163448859061,-43.2404903097781,30.3551856280224
0.5,58,-10.3865378984858,-2.9877001399713,1941.04900519677,4.76273531032479,18.0156818841533,-43.7900536836616,28.6663919786169
0.5,58.05,-10.582715780729,-3.01194938460318,1943.00952629845,4.76636179512571,18.0150282097332,-44.1639311095755,26.9724264882784
0.5,58.1,-10.7706981205875,-3.04737958475696,1944.96984627013,4.76998986766754,18.0143838315241,-44.3492863973691,25.2844753175869
0.5,58.15,-10.9428770231407,-3.0952138182613,1946.92996593249,4.77361952581805,18.013748720386,-44.3418219345614,23.6183092954938
0.5,58.2,-11.0900998214756,-3.15623386580866,1948.88988610296,4.77725076745671,18.0131228481178,-44.1516529876591,21.9950346640319
0.5,58.25,-11.2022062925386,-3.23036488166986,1950.84960759569,4.78088359047487,18.0125061870471,-43.8103619788344,20.4411758442073
0.5,58.3,-11.2692313579943,-3.31615135168839,1952.80913122162,4.78451799277455,18.0118987098461,-43.3777271056847,18.9873874420053
0.5,58.35,-11.2833674727761,-3.41023036378025,1954.76845778848,4.78815397226251,18.0113003894426,-42.9452448315762,17.6650030994231
0.5,58.4,-11.2414589712555,-3.50702440273446,1956.72758810081,4.79179152686429,18.0107111989727,-42.6326970783426,16.4999988292629
0.5,58.45,-11.1473452220414,-3.59895975369036,1958.68652295995,4.79543065452123,18.0101311117549,-42.5749645574783,15.5050781027737
0.5,58.5,-11.0130551149021,-3.67744571091932,1960.64526316409,4.7990713531792,18.0095601012752,-42.8998206535718,14.6723131136807
0.5,58.55,-10.8580291494375,-3.7345338282078,1962.60380950827,4.80271362079485,18.0089981411777,-43.7023099483364,13.9700135131957
0.5,58.6,-10.7062781120704,-3.76472590327698,1964.56216278439,4.80635745533614,18.0084452052589,-45.0243640509407,13.3466390173941
0.5,58.65,-10.5822921014023,-3.76616208067198,1966.52032378126,4.81000285478202,18.0079012674639,-46.8470045660849,12.741239436548
0.5,58.7,-10.507032797593,-3.74068098545795,1968.47829328456,4.81364981712218,18.0073663018839,-49.0973745372944,12.0962267041635
0.5,58.75,-10.49520447816,-3.69285069512828,1970.43607207691,4.81729834035694,18.0068402827539,-51.667013599943,11.3672765514949
0.5,58.8,-10.5543636010633,-3.62853989540268,1972.39366093785,4.82094842249717,18.0063231844515,-54.4343138423178,10.5274591993832
0.5,58.85,-10.6856862918054,-3.55363161417722,1974.35106064387,4.82460006156418,18.0058149814954,-57.2841759067465,9.5660308081623
0.5,58.9,-10.8857284560383,-3.47319862574337,1976.30827196844,4.82825325558967,18.0053156485447,-60.1206789338667,8.48424002034496
0.5,58.95,-11.1484285445301,-3.39115391362432,1978.26529568199,4.8319080026156,18.0048251603975,-62.8720875692772,7.29051819963155
0.5,59,-11.4668194525626,-3.31022806972999,1980.22213255194,4.83556430069417,18.0043434919905,-65.4899845893962,5.99646867317336
0.5,59.05,-11.8342230890887,-3.23210241356519,1982.17878334275,4.83922214788768,18.0038706183978,-67.9451346310522,4.61413065961729
0.5,59.1,-12.2449369779523,-3.15757003336333,1984.13524881588,4.8428815422685,18.0034065148301,-70.2222874860532,3.15447765716853
0.5,59.15,-12.6945366145847,-3.08665349514518,1986.09152972983,4.84654248191899,18.0029511566342,-72.3152767155181,1.62700807280325
0.5,59.2,-13.1799374171266,-3.01866636775298,1988.04762684017,4.8502049649314,18.0025045192916,-74.2229958980127,0.0404509077370526
0.5,59.25,-13.6993334926397,-2.95229098239497,1990.00354089954,4.8538689894078,18.0020665784184,-75.9463349940657,-1.59518369176956
0.5,59.3,-14.2520923407329,-2.88588524738087,1991.95927265764,4.85753455346002,18.0016373097641,-77.4859123201295,-3.26528080426888
0.5,59.35,-14.8386520677652,-2.81832380310427,1993.91482286131,4.86120165520958,18.0012166892108,-78.8403517908674,-4.94794495991188
0.5,59.4,-15.4604452237433,-2.75028762920804,1995.87019225446,4.86487029278758,18.0008046927724,-80.0048457253176,-6.61695437732175
0.5,59.45,-16.1198597035447,-2.68482395722403,1997.82538157817,4.86854046433466,18.0004012965942,-80.9697542652607,-8.25344177073111
0.5,59.5,-16.8202391588806,-2.62587298837894,1999.78039157062,4.87221216800094,18.0000064769514,-81.7189903433371,-9.85735583995961
0.5,59.55,-17.5659196138618,-2.57587814964978,2001.7352229672,4.8758854019459,17.9996202102489,-82.2279030165288,-11.4448272452621
0.5,59.6,-18.3622915176969,-2.53494906955075,2003.68987650043,4.87956016433836,17.9992424730203,-82.4602817536529,-13.0348156661581
0.5,59.65,-19.2158612260895,-2.50176842467949,2005.64435290002,4.88323645335635,17.998873241927,-82.3639319268567,-14.6396726650648
0.5,59.7,-20.1342508211685,-2.47473295611195,2007.5986528929,4.8869142671871,17.9985124937575,-81.8639745497948,-16.2641337103401
0.5,59.75,-21.1259933975312,-2.45252771920297,2009.55277720321,4.89059360402697,17.9981602054266,-80.8525458596861,-17.9081302576936
0.5,59.8,-22.1997904582503,-2.43423706382884,2011.5067265523,4.89427446208129,17.9978163539746,-79.1728927297839,-19.5694831656506
0.5,59.85,-23.3624573001718,-2.41927120011351,2013.46050165878,4.89795683956441,17.9974809165667,-76.5952211936065,-21.2454565096064
0.5,59.9,-24.6137936035594,-2.4072639491371,2015.4141032385,4.90164073469957,17.9971538704919,-72.7825017974354,-22.9334380717525
0.5,59.95,-25.9346316031368,-2.39799174824846,2017.36753200459,4.90532614571882,17.9968351931622,-67.2526949420083,-24.6311580909847
0.5,60,-27.2617386162496,-2.39131942443312,2019.32078866747,4.909013070863,17.9965248621123,-59.3786979524479,-26.3367087494847
0.5,60.05,-28.4472511710115,-2.38716630768437,2021.27387393483,4.91270150838163,17.9962228549983,-48.5654098075633,-28.0484937032517
0.5,60.1,-29.2378612534963,-2.3854856227707,2023.22678851169,4.91639145653286,17.9959291495972,-34.843869978854,-29.7651625782868
0.5,60.15,-29.3807747176492,-2.3862520220722,2025.1795331004,4.92008291358342,17.9956437238062,-19.6659735970982,-31.4855505587963
0.5,60.2,-28.8503353382784,-2.38945397876814,2027.13210840062,4.92377587780852,17.9953665556415,-5.50483000119922,-33.2086285852174
0.5,60.25,-27.8762796087765,-2.39508905497962,2029.08451510937,4.92747034749183,17.9950976232382,5.93070163678951,-34.9334641773968
