W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-14.54502352,-4.949241607,1862.188804,5.513613396,131.8834965,-150.386244,-127.6419137
0.5,57.05,-14.58724991,-4.903940916,1864.562417,5.516339324,131.839348,-153.7262054,-129.4739118
0.5,57.1,-14.64310003,-4.859447552,1866.935116,5.51906974,131.7953987,-157.0818001,-131.3364403
0.5,57.15,-14.71357667,-4.816016636,1869.306904,5.521804621,131.7516475,-160.4396102,-133.2312281
0.5,57.2,-14.79951339,-4.773967081,1871.677786,5.524543945,131.7080934,-163.7836157,-135.1601801
0.5,57.25,-14.90146392,-4.733699191,1874.047763,5.527287688,131.6647352,-167.0949946,-137.1253482
0.5,57.3,-15.01955869,-4.695715551,1876.416841,5.530035829,131.621572,-170.3520794,-139.1288667
0.5,57.35,-15.15332808,-4.660644585,1878.785022,5.532788346,131.5786027,-173.5305867,-141.1728384
0.5,57.4,-15.30150025,-4.629265097,1881.15231,5.535545215,131.5358263,-176.6042693,-143.2591504
0.5,57.45,-15.46179346,-4.602528398,1883.518709,5.538306417,131.4932418,-179.5461604,-145.3891994
0.5,57.5,-15.63074124,-4.581572168,1885.88422,5.541071928,131.4508482,177.6694489,-147.5635063
0.5,57.55,-15.80360871,-4.567717249,1888.248849,5.543841727,131.4086444,175.064255,-149.7812165
0.5,57.6,-15.97447314,-4.562435736,1890.612599,5.546615793,131.3666295,172.6525839,-152.0395062
0.5,57.65,-16.13653814,-4.567277617,1892.975472,5.549394105,131.3248025,170.4379081,-154.3329625
0.5,57.7,-16.282713,-4.583746213,1895.337473,5.552176642,131.2831624,168.4100611,-156.653067
0.5,57.75,-16.4064121,-4.613122534,1897.698603,5.554963382,131.2417082,166.5441479,-158.9879737
0.5,57.8,-16.50243137,-4.656256366,1900.058868,5.557754304,131.2004389,164.801972,-161.3227953
0.5,57.85,-16.56768542,-4.713364177,1902.41827,5.560549389,131.1593537,163.1361519,-163.640562
0.5,57.9,-16.60159393,-4.783891099,1904.776812,5.563348616,131.1184514,161.496185,-165.9238472
0.5,57.95,-16.60600655,-4.866493299,1907.134497,5.566151963,131.0777313,159.834968,-168.1568171
0.5,58,-16.58470919,-4.959169867,1909.491329,5.568959412,131.0371923,158.1141456,-170.3272394
0.5,58.05,-16.5426825,-5.059526207,1911.847311,5.571770942,130.9968336,156.3071913,-172.4279156
0.5,58.1,-16.48532463,-5.165105235,1914.202447,5.574586532,130.9566541,154.399999,-174.4571618
0.5,58.15,-16.41780662,-5.273702211,1916.556739,5.577406164,130.916653,152.389505,-176.4182737
0.5,58.2,-16.34464179,-5.383593143,1918.91019,5.580229818,130.8768293,150.2812037,-178.3182298
0.5,58.25,-16.26947119,-5.493644392,1921.262804,5.583057473,130.8371822,148.0863674,179.8339409
0.5,58.3,-16.19501941,-5.603311063,1923.614583,5.585889111,130.7977107,145.8195282,178.0287173
0.5,58.35,-16.12316032,-5.71255728,1925.965532,5.588724712,130.7584139,143.4964902,176.2573044
0.5,58.4,-16.05503894,-5.821738064,1928.315653,5.591564258,130.719291,141.1329266,174.5124169
0.5,58.45,-15.99121054,-5.931475521,1930.664948,5.594407728,130.6803411,138.7434926,172.7886648
0.5,58.5,-15.93177336,-6.042549676,1933.013422,5.597255105,130.6415632,136.3413365,171.082643
0.5,58.55,-15.8764831,-6.15581264,1935.361077,5.60010637,130.6029566,133.9378908,169.3928379
0.5,58.6,-15.82484522,-6.272126734,1937.707916,5.602961504,130.5645203,131.5428415,167.7194484
0.5,58.65,-15.77618547,-6.392322806,1940.053943,5.605820488,130.5262535,129.1641982,166.0641854
0.5,58.7,-15.72970143,-6.517173387,1942.39916,5.608683304,130.4881553,126.8084118,164.4300933
0.5,58.75,-15.68449823,-6.647375281,1944.743569,5.611549934,130.4502249,124.480502,162.8214105
0.5,58.8,-15.63961218,-6.783536869,1947.087176,5.61442036,130.4124615,122.1841717,161.2434772
0.5,58.85,-15.59402524,-6.926166231,1949.429981,5.617294564,130.3748641,119.921893,159.7026875
0.5,58.9,-15.5466735,-7.075656883,1951.771988,5.620172528,130.3374321,117.6949535,158.2064796
0.5,58.95,-15.4964521,-7.232268436,1954.113201,5.623054234,130.3001645,115.5034589,156.7633541
0.5,59,-15.44221954,-7.39609978,1956.453621,5.625939664,130.2630605,113.3462842,155.3829063
0.5,59.05,-15.3828041,-7.567052606,1958.793252,5.628828802,130.2261193,111.2209739,154.0758573
0.5,59.1,-15.31701559,-7.744783245,1961.132097,5.631721629,130.1893402,109.1235885,152.85406
0.5,59.15,-15.24366654,-7.928641244,1963.470158,5.634618129,130.1527222,107.0485037,151.7304502
