W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-16.83973719,-5.937941948,1864.820923,5.539128596,163.2765293,-143.7510024,45.19595343
0.5,57.05,-16.70377084,-6.016933659,1867.194371,5.541858863,163.2259877,-147.1971204,43.58291188
0.5,57.1,-16.58283619,-6.093294706,1869.566901,5.544593517,163.1756944,-150.7028033,41.99431767
0.5,57.15,-16.47814996,-6.167010171,1871.938518,5.547332538,163.1256479,-154.255393,40.42857916
0.5,57.2,-16.39066896,-6.238074099,1874.309225,5.550075902,163.075847,-157.8406289,38.88417466
0.5,57.25,-16.32103511,-6.306488405,1876.679025,5.552823587,163.0262903,-161.4429784,37.35964908
0.5,57.3,-16.269533,-6.372261938,1879.047922,5.555575571,162.9769767,-165.046063,35.85361059
0.5,57.35,-16.23606432,-6.435409652,1881.41592,5.558331831,162.9279048,-168.6331527,34.36472716
0.5,57.4,-16.22014181,-6.495951893,1883.783021,5.561092347,162.8790734,-172.1876928,32.89172317
0.5,57.45,-16.22090346,-6.553913785,1886.14923,5.563857096,162.8304812,-175.6938211,31.43337605
0.5,57.5,-16.23714522,-6.609324706,1888.514549,5.566626056,162.782127,-179.1368383,29.98851302
0.5,57.55,-16.26736887,-6.662217843,1890.878982,5.569399207,162.7340095,177.4964033,28.55600796
0.5,57.6,-16.30984006,-6.712629815,1893.242533,5.572176526,162.6861275,174.2172118,27.13477837
0.5,57.65,-16.36265141,-6.760600369,1895.605204,5.574957994,162.6384798,171.0348797,25.72378252
0.5,57.7,-16.42378545,-6.806172132,1897.966999,5.577743588,162.5910652,167.956613,24.32201666
0.5,57.75,-16.49117339,-6.849390407,1900.327922,5.580533288,162.5438825,164.9875563,22.92851252
0.5,57.8,-16.56274659,-6.890303034,1902.687975,5.583327074,162.4969304,162.130891,21.54233482
0.5,57.85,-16.63647906,-6.92896028,1905.047162,5.586124925,162.4502079,159.3879879,20.16257908
0.5,57.9,-16.71042052,-6.965414777,1907.405487,5.58892682,162.4037137,156.7585905,18.78836947
0.5,57.95,-16.7827203,-6.9997215,1909.762951,5.591732739,162.3574467,154.2410127,17.41885694
0.5,58,-16.85164306,-7.031937769,1912.11956,5.594542662,162.3114057,151.8323335,16.05321743
0.5,58.05,-16.9155779,-7.062123299,1914.475315,5.59735657,162.2655895,149.5285809,14.6906503
0.5,58.1,-16.97304197,-7.090340265,1916.83022,5.600174442,162.219997,147.3248956,13.33037692
0.5,58.15,-17.02268045,-7.116653407,1919.184278,5.602996259,162.1746272,145.215673,11.97163945
0.5,58.2,-17.06326388,-7.141130161,1921.537492,5.605822,162.1294787,143.1946806,10.6136998
0.5,58.25,-17.09368405,-7.163840811,1923.889866,5.608651648,162.0845506,141.2551541,9.255838773
0.5,58.3,-17.11294942,-7.184858677,1926.241403,5.611485182,162.0398417,139.3898725,7.897355436
0.5,58.35,-17.12018061,-7.204260318,1928.592105,5.614322583,161.9953509,137.5912152,6.537566684
0.5,58.4,-17.1146066,-7.222125766,1930.941976,5.617163833,161.9510772,135.8512056,5.175807045
0.5,58.45,-17.09556183,-7.238538786,1933.291018,5.620008912,161.9070194,134.161543,3.811428724
0.5,58.5,-17.06248457,-7.253587153,1935.639236,5.622857802,161.8631764,132.5136262,2.443801917
0.5,58.55,-17.0149166,-7.267362958,1937.986631,5.625710484,161.8195472,130.898573,1.072315409
0.5,58.6,-16.95250422,-7.279962935,1940.333208,5.628566939,161.7761307,129.3072357,-0.303622511
0.5,58.65,-16.87500065,-7.291488811,1942.678968,5.63142715,161.7329259,127.7302181,-1.68458279
0.5,58.7,-16.78226976,-7.302047676,1945.023915,5.634291097,161.6899316,126.1578933,-3.071113972
0.5,58.75,-16.67429105,-7.311752378,1947.368053,5.637158764,161.6471469,124.5804264,-4.463740139
0.5,58.8,-16.55116573,-7.320721928,1949.711383,5.640030131,161.6045708,122.9878035,-5.862958377
0.5,58.85,-16.41312397,-7.329081933,1952.053909,5.642905181,161.5622021,121.3698684,-7.269235738
0.5,58.9,-16.26053299,-7.336965035,1954.395633,5.645783897,161.5200399,119.7163697,-8.683005609
0.5,58.95,-16.09390597,-7.34451137,1956.736559,5.64866626,161.4780831,118.0170213,-10.10466345
0.5,59,-15.91391146,-7.351869023,1959.07669,5.651552253,161.4363308,116.261577,-11.5345618
0.5,59.05,-15.72138302,-7.359194501,1961.416028,5.654441859,161.3947819,114.4399248,-12.97300449
0.5,59.1,-15.51732853,-7.366653191,1963.754577,5.65733506,161.3534354,112.542201,-14.42023997
0.5,59.15,-15.30293866,-7.374419809,1966.092339,5.660231839,161.3122904,110.5589301,-15.8764536
0.5,59.2,-15.07959348,-7.382678835,1968.429316,5.66313218,161.2713459,108.4811916,-17.34175889
0.5,59.25,-14.84886606,-7.391624906,1970.765513,5.666036065,161.2306009,106.3008161,-18.81618738
0.5,59.3,-14.61252163,-7.40146317,1973.100931,5.668943477,161.1900543,104.0106113,-20.29967731
0.5,59.35,-14.37251043,-7.412409571,1975.435574,5.6718544,161.1497054,101.6046158,-21.79206055
0.5,59.4,-14.13095248,-7.424691051,1977.769444,5.674768817,161.109553,99.07837396,-23.29304801
0.5,59.45,-13.89011192,-7.438545632,1980.102544,5.677686711,161.0695964,96.4292209,-24.80221303
0.5,59.5,-13.65235959,-7.454222365,1982.434876,5.680608067,161.0298344,93.65656111,-26.31897281
0.5,59.55,-13.42012231,-7.471981077,1984.766445,5.683532868,160.9902662,90.76211666,-27.8425675
0.5,59.6,-13.19581918,-7.492091898,1987.097251,5.686461098,160.9508908,87.75011667,-29.37203695
0.5,59.65,-12.98178621,-7.514834474,1989.427298,5.68939274,160.9117074,84.62739645,-30.90619482
0.5,59.7,-12.78019273,-7.540496809,1991.756589,5.692327779,160.8727149,81.40337557,-32.44360009
0.5,59.75,-12.59295509,-7.569373625,1994.085127,5.695266199,160.8339126,78.08989063,-33.98252579
0.5,59.8,-12.42165444,-7.601764103,1996.412913,5.698207984,160.7952994,74.70087109,-35.52092537
0.5,59.85,-12.2674667,-7.637968841,1998.739951,5.701153119,160.7568745,71.25186352,-37.05639674
0.5,59.9,-12.13111201,-7.678285776,2001.066244,5.704101588,160.718637,67.75942952,-38.58614517
0.5,59.95,-12.01282981,-7.723004769,2003.391793,5.707053375,160.680586,64.24046105,-40.1069461
0.5,60,-11.91238278,-7.772400398,2005.716602,5.710008465,160.6427206,60.71146957,-41.61511016
0.5,60.05,-11.8290894,-7.82672235,2008.040673,5.712966844,160.6050399,57.18790965,-43.10645397
0.5,60.1,-11.76188204,-7.886182542,2010.364009,5.715928495,160.5675431,53.68359261,-44.57628161
0.5,60.15,-11.70938458,-7.950937775,2012.686612,5.718893404,160.5302293,50.21023208,-46.01938437
0.5,60.2,-11.67000241,-8.021066261,2015.008485,5.721861556,160.4930976,46.77714543,-47.43006879
0.5,60.25,-11.6420179,-8.096535786,2017.329631,5.724832935,160.4561473,43.39111668,-48.80222669
0.5,60.3,-11.62368527,-8.177160687,2019.650052,5.727807528,160.4193773,40.05641194,-50.12946418
0.5,60.35,-11.61332104,-8.262544373,2021.96975,5.73078532,160.382787,36.77493051,-51.40530943
0.5,60.4,-11.60938845,-8.35200434,2024.288728,5.733766295,160.3463753,33.54647561,-52.62352116
0.5,60.45,-11.61057617,-8.444478339,2026.606989,5.73675044,160.3101417,30.36913841,-53.77851901
0.5,60.5,-11.61587323,-8.538414832,2028.924536,5.73973774,160.2740851,27.2398104,-54.86595684
