w{mm},freq
0.5,57
0.5,57.01
0.5,57.02
0.5,57.03
0.5,57.04
0.5,57.05
0.5,57.06
0.5,57.07
0.5,57.08
0.5,57.09
0.5,57.1
0.5,57.11
0.5,57.12
0.5,57.13
0.5,57.14
0.5,57.15
0.5,57.16
0.5,57.17
0.5,57.18
0.5,57.19
0.5,57.2
0.5,57.21
0.5,57.22
0.5,57.23
0.5,57.24
0.5,57.25
0.5,57.26
0.5,57.27
0.5,57.28
0.5,57.29
0.5,57.3
0.5,57.31
0.5,57.32
0.5,57.33
0.5,57.34
0.5,57.35
0.5,57.36
0.5,57.37
0.5,57.38
0.5,57.39
0.5,57.4
0.5,57.41
0.5,57.42
0.5,57.43
0.5,57.44
0.5,57.45
0.5,57.46
0.5,57.47
0.5,57.48
0.5,57.49
0.5,57.5
0.5,57.51
0.5,57.52
0.5,57.53
0.5,57.54
0.5,57.55
0.5,57.56
0.5,57.57
0.5,57.58
0.5,57.59
0.5,57.6
0.5,57.61
0.5,57.62
0.5,57.63
0.5,57.64
0.5,57.65
0.5,57.66
0.5,57.67
0.5,57.68
0.5,57.69
0.5,57.7
0.5,57.71
0.5,57.72
0.5,57.73
0.5,57.74
0.5,57.75
0.5,57.76
0.5,57.77
0.5,57.78
0.5,57.79
0.5,57.8
0.5,57.81
0.5,57.82
0.5,57.83
0.5,57.84
0.5,57.85
0.5,57.86
0.5,57.87
0.5,57.88
0.5,57.89
0.5,57.9
0.5,57.91
0.5,57.92
0.5,57.93
0.5,57.94
0.5,57.95
0.5,57.96
0.5,57.97
0.5,57.98
0.5,57.99
0.5,58
0.5,58.01
0.5,58.02
0.5,58.03
0.5,58.04
0.5,58.05
0.5,58.06
0.5,58.07
0.5,58.08
0.5,58.09
0.5,58.1
0.5,58.11
0.5,58.12
0.5,58.13
0.5,58.14
0.5,58.15
0.5,58.16
0.5,58.17
0.5,58.18
0.5,58.19
0.5,58.2
0.5,58.21
0.5,58.22
0.5,58.23
0.5,58.24
0.5,58.25
0.5,58.26
0.5,58.27
0.5,58.28
0.5,58.29
0.5,58.3
0.5,58.31
0.5,58.32
0.5,58.33
0.5,58.34
0.5,58.35
0.5,58.36
0.5,58.37
0.5,58.38
0.5,58.39
0.5,58.4
0.5,58.41
0.5,58.42
0.5,58.43
0.5,58.44
0.5,58.45
0.5,58.46
0.5,58.47
0.5,58.48
0.5,58.49
0.5,58.5
0.5,58.51
0.5,58.52
0.5,58.53
0.5,58.54
0.5,58.55
0.5,58.56
0.5,58.57
0.5,58.58
0.5,58.59
0.5,58.6
0.5,58.61
0.5,58.62
0.5,58.63
0.5,58.64
0.5,58.65
0.5,58.66
0.5,58.67
0.5,58.68
0.5,58.69
0.5,58.7
0.5,58.71
0.5,58.72
0.5,58.73
0.5,58.74
0.5,58.75
0.5,58.76
0.5,58.77
0.5,58.78
0.5,58.79
0.5,58.8
0.5,58.81
0.5,58.82
0.5,58.83
0.5,58.84
0.5,58.85
0.5,58.86
0.5,58.87
0.5,58.88
0.5,58.89
0.5,58.9
0.5,58.91
0.5,58.92
0.5,58.93
0.5,58.94
0.5,58.95
0.5,58.96
0.5,58.97
0.5,58.98
0.5,58.99
0.5,59
0.5,59.01
0.5,59.02
0.5,59.03
0.5,59.04
0.5,59.05
0.5,59.06
0.5,59.07
0.5,59.08
0.5,59.09
0.5,59.1
0.5,59.11
0.5,59.12
0.5,59.13
0.5,59.14
0.5,59.15
0.5,59.16
0.5,59.17
0.5,59.18
0.5,59.19
0.5,59.2
0.5,59.21
0.5,59.22
0.5,59.23
0.5,59.24
0.5,59.25
0.5,59.26
0.5,59.27
0.5,59.28
0.5,59.29
0.5,59.3
0.5,59.31
0.5,59.32
0.5,59.33
0.5,59.34
0.5,59.35
0.5,59.36
0.5,59.37
0.5,59.38
0.5,59.39
0.5,59.4
0.5,59.41
0.5,59.42
0.5,59.43
0.5,59.44
0.5,59.45
0.5,59.46
0.5,59.47
0.5,59.48
0.5,59.49
0.5,59.5
0.5,59.51
0.5,59.52
0.5,59.53
0.5,59.54
0.5,59.55
0.5,59.56
0.5,59.57
0.5,59.58
0.5,59.59
0.5,59.6
0.5,59.61
0.5,59.62
0.5,59.63
0.5,59.64
0.5,59.65
0.5,59.66
0.5,59.67
0.5,59.68
0.5,59.69
0.5,59.7
0.5,59.71
0.5,59.72
0.5,59.73
0.5,59.74
0.5,59.75
0.5,59.76
0.5,59.77
0.5,59.78
0.5,59.79
0.5,59.8
0.5,59.81
0.5,59.82
0.5,59.83
0.5,59.84
0.5,59.85
0.5,59.86
0.5,59.87
0.5,59.88
0.5,59.89
0.5,59.9
0.5,59.91
0.5,59.92
0.5,59.93
0.5,59.94
0.5,59.95
0.5,59.96
0.5,59.97
0.5,59.98
0.5,59.99
0.5,60
0.5,60.01
0.5,60.02
0.5,60.03
0.5,60.04
0.5,60.05
0.5,60.06
0.5,60.07
0.5,60.08
0.5,60.09
0.5,60.1
0.5,60.11
0.5,60.12
0.5,60.13
0.5,60.14
0.5,60.15
0.5,60.16
0.5,60.17
0.5,60.18
0.5,60.19
0.5,60.2
0.5,60.21
0.5,60.22
0.5,60.23
0.5,60.24
0.5,60.25
0.5,60.26
0.5,60.27
0.5,60.28
0.5,60.29
0.5,60.3
0.5,60.31
0.5,60.32
0.5,60.33
0.5,60.34
0.5,60.35
0.5,60.36
0.5,60.37
0.5,60.38
0.5,60.39
0.5,60.4
0.5,60.41
0.5,60.42
0.5,60.43
0.5,60.44
0.5,60.45
0.5,60.46
0.5,60.47
0.5,60.48
0.5,60.49
0.5,60.5
0.5,60.51
0.5,60.52
0.5,60.53
0.5,60.54
0.5,60.55
0.5,60.56
0.5,60.57
0.5,60.58
0.5,60.59
0.5,60.6
0.5,60.61
0.5,60.62
0.5,60.63
0.5,60.64
0.5,60.65
0.5,60.66
0.5,60.67
0.5,60.68
0.5,60.69
0.5,60.7
0.5,60.71
0.5,60.72
0.5,60.73
0.5,60.74
0.5,60.75
0.5,60.76
0.5,60.77
0.5,60.78
0.5,60.79
0.5,60.8
0.5,60.81
0.5,60.82
0.5,60.83
0.5,60.84
0.5,60.85
0.5,60.86
0.5,60.87
0.5,60.88
0.5,60.89
0.5,60.9
0.5,60.91
0.5,60.92
0.5,60.93
0.5,60.94
0.5,60.95
0.5,60.96
0.5,60.97
0.5,60.98
0.5,60.99
0.5,61
0.5,61.01
0.5,61.02
0.5,61.03
0.5,61.04
0.5,61.05
0.5,61.06
0.5,61.07
0.5,61.08
0.5,61.09
0.5,61.1
0.5,61.11
0.5,61.12
0.5,61.13
0.5,61.14
0.5,61.15
0.5,61.16
0.5,61.17
0.5,61.18
0.5,61.19
